Core ID,yircr12s,yircr13s,yircr16s,yircr18s,yircr19s,yirbh34s,yirbh35s,yirbh37s,yirbh38s,yirbh39s,yirww48s,yirww49s,yirww51s,yirww54s,yirww56s,yirbs65s,yirbs67s,yirbs69s,yirbs74s,yores01s,yores02s,yores03s,yores44s,yores46s,yorar05s,yorar06s,yorar09s,yorar10s,yorcf21s,yorcf26s,yorcf27s,yorcf28s,yorcf30s,yorfr58s,yorfr59s,yorfr61s,yorfr62s,yorfr63s,yircr14p,yircr15p,yircr17p,yircr20p,yirbh36p,yirbh40p,yirbh41p,yirbh42p,yirbh43p,yirww47p,yirww50p,yirww52p,yirww53p,yirww55p,yirbs66p,yirbs70p,yirbs71p,yirbs72p,yirbs73p,yorar04p,yorar07p,yorar08p,yorcf23p,yorcf31p,yorcf32p,yorcf33p,yorfr57p,yorfr60p,yorfr64p
Species,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Site,CR,CR,CR,CR,CR,BH,BH,BH,BH,BH,WW,WW,WW,WW,WW,BS,BS,BS,BS,ES,ES,ES,ES,ES,AR,AR,AR,AR,CF,CF,CF,CF,CF,FR,FR,FR,FR,FR,CR,CR,CR,CR,BH,BH,BH,BH,BH,WW,WW,WW,WW,WW,BS,BS,BS,BS,BS,AR,AR,AR,CF,CF,CF,CF,FR,FR,FR
Transect,UK1,UK1,UK1,UK1,UK1,UK2,UK2,UK2,UK2,UK2,LK,LK,LK,LK,LK,UK3,UK3,UK3,UK3,LK,LK,LK,LK,LK,UK1,UK1,UK1,UK1,UK2,UK2,UK2,UK2,UK2,UK3,UK3,UK3,UK3,UK3,UK1,UK1,UK1,UK1,UK2,UK2,UK2,UK2,UK2,LK,LK,LK,LK,LK,UK3,UK3,UK3,UK3,UK3,UK1,UK1,UK1,UK2,UK2,UK2,UK2,UK3,UK3,UK3
Reef Zone,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,OR,OR,OR,OR,OR,OR,OR,OR,OR,OR,OR,OR,OR,OR,OR,OR,OR,OR,OR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,OR,OR,OR,OR,OR,OR,OR,OR,OR,OR
