Core ID,yircr12s,yircr13s,yircr16s,yircr18s,yircr19s,yirbh34s,yirbh35s,yirbh37s,yirbh38s,yirbh39s,yirww48s,yirww49s,yirww51s,yirww54s,yirww56s,yirbs65s,yirbs67s,yirbs69s,yirbs74s,yores01s,yores02s,yores03s,yores44s,yores46s,yorar05s,yorar06s,yorar09s,yorar10s,yorcf21s,yorcf26s,yorcf27s,yorcf28s,yorcf30s,yorfr58s,yorfr59s,yorfr61s,yorfr62s,yorfr63s,yircr14p,yircr15p,yircr17p,yircr20p,yirbh36p,yirbh40p,yirbh41p,yirbh42p,yirbh43p,yirww47p,yirww50p,yirww52p,yirww53p,yirww55p,yirbs66p,yirbs70p,yirbs71p,yirbs72p,yirbs73p,yorar04p,yorar07p,yorar08p,yorcf23p,yorcf31p,yorcf32p,yorcf33p,yorfr57p,yorfr60p,yorfr64p
2004,0.3063,0.5069,0.1752,0.3893,0.5231,0.2283,0.4176,0.2932,0.2951,0.4143,0.4163,0.3408,0.3526,0.4078,0.3228,0.4891,0.5052,0.362,0.3308,0.2728,0.4035,0.3041,0.2113,0.4135,0.2489,0.4879,0.3642,0.4019,0.3255,0.4658,0.455,0.2738,0.4454,0.2884,0.2771,0.316,0.4162,0.4378,0.3252,0.5439,0.4263,,0.633,0.2686,0.5496,0.3882,0.4364,0.3201,0.528,0.5922,0.2511,0.2649,0.3533,0.4745,0.3334,0.6049,0.4123,0.3167,0.9585,0.5024,0.5635,0.4485,0.401,0.3643,0.4222,0.5766,0.5476
2003,0.4113,0.3966,0.3159,0.3414,0.4868,0.3084,0.4267,0.4107,0.284,0.3316,0.2806,0.387,0.3992,0.3996,0.3072,0.3557,0.471,0.2741,0.4157,0.401,0.3299,0.3596,0.2027,0.4303,0.2234,0.516,0.2642,0.3022,0.3132,0.3018,0.4176,0.4603,0.5102,0.3071,0.2364,0.335,0.4073,0.7256,0.4804,0.7393,0.4727,0.6407,0.5286,0.2408,0.5991,0.5486,0.3094,0.3276,0.4246,0.531,0.2658,0.2737,0.3244,0.5132,0.3555,0.4437,0.396,0.3381,1.0488,0.4685,0.5336,0.3624,0.4191,0.3594,0.3975,0.5984,0.4108
2002,0.3238,0.3191,0.3274,0.3446,0.3439,0.2995,0.4454,0.3897,0.2757,0.2841,0.1767,0.3439,0.4554,0.4437,0.3281,0.3604,0.3524,0.3086,0.434,0.4148,0.398,0.3129,0.1911,0.4694,0.2553,0.4599,0.3023,0.377,0.3224,0.3353,0.3504,0.4166,0.2734,0.6823,0.2662,0.2494,0.3654,0.4062,0.4446,0.6642,0.3986,0.4943,0.6428,0.2872,0.7268,0.4427,0.3093,0.3451,0.4861,0.5097,0.2483,0.2647,0.3469,0.4551,0.383,0.5129,0.4014,0.4262,0.9593,0.6049,0.5005,0.4693,0.4459,0.3679,0.3112,0.6094,0.404
2001,0.3004,0.2147,0.4624,0.3733,0.3681,0.2847,0.374,0.274,0.3118,0.3403,0.1611,0.2731,0.4429,0.4492,0.3308,0.3572,0.3302,0.3086,0.3945,0.3255,0.3599,0.3159,0.1882,0.5701,0.1787,0.6371,0.2809,0.4518,0.2948,0.3586,0.4364,0.4079,0.3918,0.3117,0.2797,0.2352,0.3824,0.4924,0.4864,0.7592,0.383,0.6143,0.4405,0.3088,0.7606,0.4427,0.5335,,0.4302,0.7208,0.3088,0.2343,0.4153,0.4454,0.4216,0.6443,0.3802,0.4902,0.7828,0.5872,0.5037,0.505,0.5058,0.3479,0.3851,0.5735,0.5343
2000,0.3996,0.2356,0.4257,0.3669,0.4165,0.2788,0.3511,0.2546,0.2896,0.3196,0.2598,0.2853,0.4366,0.6432,0.2993,0.3062,0.327,,0.3946,0.4669,0.2154,0.3041,0.443,0.4661,0.2904,0.6027,0.2833,0.4206,0.3006,0.3419,0.4143,0.4516,0.4933,0.6035,0.2635,0.354,0.3516,0.5413,0.4177,0.655,0.4857,0.5349,0.4666,0.2439,0.7606,0.4716,0.4881,,0.4414,0.6014,0.2221,0.21,0.3187,0.5261,0.3224,0.5062,0.3799,0.5481,0.6833,0.5,0.4607,0.4663,0.4279,0.4139,0.3974,,0.5277
1999,0.2771,0.4085,0.3651,0.3031,0.826,0.2432,0.3344,0.3016,0.2005,0.4025,0.2936,0.3285,0.3937,0.4975,0.2859,0.4117,0.2794,,0.4249,0.3312,0.5508,0.3217,0.1911,0.4099,0.2809,0.5565,0.2999,0.366,0.2976,0.3587,0.4744,0.4573,0.6089,0.3468,0.2308,0.2304,0.4494,0.4233,0.4893,0.7328,0.2762,0.5934,0.5547,0.3119,0.732,0.4427,0.5061,,0.3794,0.4547,0.1761,0.1826,0.3736,0.3873,0.2893,0.5532,0.318,0.46,0.5678,0.4593,0.4939,0.4396,0.4549,0.3565,0.3328,,0.4508
1998,0.3558,0.2207,0.4111,0.3286,0.3294,0.2076,0.3461,0.3149,0.2172,0.3404,0.2598,0.2393,0.2973,0.3573,0.3713,0.5856,0.4159,0.3121,0.4795,0.3703,0.45,0.3217,0.2258,0.4802,0.3415,0.5534,0.25,0.4281,0.316,0.3888,0.4456,0.3816,0.5468,0.318,0.2201,,0.4853,0.5096,0.3252,0.6713,0.3207,0.6727,0.5515,0.2748,0.5913,0.4042,0.388,0.3924,0.328,0.5403,0.1644,0.2708,0.3896,0.4035,0.4106,0.6193,0.3826,0.3381,0.6043,0.3425,0.5303,0.3832,0.3981,0.3162,0.2495,,
1997,0.3704,0.2773,0.4168,0.2648,0.6031,0.2373,0.3604,0.3306,0.2757,0.296,0.309,0.3072,0.4538,0.4261,0.3387,,0.4572,0.4494,0.4371,0.4399,0.5618,0.2866,0.1824,0.4747,0.1691,0.4889,0.357,0.3537,0.3191,0.4257,0.4361,0.4398,0.482,0.2825,0.2907,,0.3656,0.4952,0.4655,0.6878,0.4158,0.5617,0.6917,0.2779,0.9018,0.4588,0.3912,0.4301,0.4891,0.5952,0.2163,0.2069,0.3638,0.4616,,0.6193,0.4015,0.3715,0.5777,0.3731,0.5303,0.4218,0.4429,0.3334,0.2804,,
1996,0.3909,0.3131,0.3593,0.351,0.5837,0.3529,0.4181,0.2874,0.3007,0.3277,0.3997,0.5468,0.3004,0.4453,0.3895,,0.3651,0.3875,0.4653,0.4425,0.2672,0.3036,0.2374,0.4269,0.3064,0.602,0.2666,0.4216,0.3774,0.4655,0.4172,0.4881,0.5695,0.3306,0.2608,,0.4572,0.4146,0.4655,0.769,0.4474,0.3567,0.5123,0.4199,0.687,0.4716,0.5639,0.299,0.4808,0.5771,0.1765,0.2373,0.3413,0.4164,,0.4637,0.4418,0.4386,0.6553,0.3934,0.527,0.4069,0.458,0.3393,0.3174,,0.4033
1995,0.4142,0.3399,0.4282,0.3733,0.4238,0.6762,0.3815,0.3024,0.2478,0.3784,0.353,0.4181,0.3849,0.4151,0.4265,,0.3619,0.2556,0.3989,0.3869,0.27,0.3033,0.2345,0.4016,0.2138,,0.2857,0.4219,0.319,0.3015,0.4267,0.4765,0.6383,0.2954,0.2797,,0.4174,0.6506,0.3849,0.5898,0.3271,0.5643,0.6786,0.3798,0.7966,0.4155,0.3789,0.2838,0.4326,0.5897,0.2515,0.2282,0.38,0.4228,0.3182,0.5531,,0.4211,0.6618,0.421,0.5005,0.4248,0.4428,0.3363,,,0.3449
